record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,od_buy,mid_rate,sell_margin_pct,buy_margin_pct,od_buy_margin_pct
native,dbs,MMK,SGD,MMK/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.0326,,,,,,
native,dbs,MUR,SGD,MUR/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,2.7448,,,,,,
native,dbs,MUR,SGD,MUR/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,2.7556,,,,,,
native,dbs,MXN,SGD,MXN/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,7.6071,,,,,,
native,dbs,MXN,SGD,MXN/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,7.605,,,,,,
native,dbs,MY0,SGD,MY0/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,,0.3142,,,,,
native,dbs,MY0,SGD,MY0/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,,0.3142,,,,,
native,dbs,MYR,SGD,MYR/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.3183,,,,,,
native,dbs,MYR,SGD,MYR/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.3183,,,,,,
native,dbs,NOK,SGD,NOK/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.1376,0.1338,0.1306,0.1357,1.4001473839351606,1.4001473839351402,3.758290346352243
